,学生ID,全国卷,自主命题,半自主命题,性别,民族,政治面貌.群众,政治面貌.团员,政治面貌.预备党员,身高,体重,城镇考生,应届考生,外语语种,学科类型.理工,学科类型.文史,学科类型.文理综合,年份,成绩（分数/总分）,学部.理学部,学部.经济与管理学部,学部.人文学部,学部.社会科学学部,学部.信息与工程科学部,优惠加分,大类.普通,大类.自招,大类.定向招生,大类.筑梦,大类.特长生,高三排名,成绩方差,专利数,社会活动,获奖数,竞赛成绩,生源省市
25,e3d01867f48e5ecfd3d2,0,0,1,1,1,0,1,0,162,56,1,1,1,0,1,0,1,0.857333333,0,0,1,0,0,0,1,0,0,0,0,0.137142857,2.697285218,0,0.428571429,0.307692308,0,湖南省
26,fa7f80a5d945943e12d6,1,0,0,1,0,0,1,0,162,48,1,1,1,1,0,0,0,0.893333333,1,0,0,0,0,0,1,0,0,0,0,0.0375,-0.237818075,0,0.028571429,0.128205128,0.034482759,广西壮族自治区
27,304492d18a311aba8111,0,1,0,0,1,0,1,0,186,71,1,1,1,1,0,0,1,0.827272727,0,1,0,0,0,1,0,1,0,0,0,0.228222997,-0.262245872,0,0.171428571,0.538461538,0,上海市
28,426ad57c0a9a3222c1b5,1,0,0,1,1,0,1,0,164,54,1,1,1,0,1,0,1,0.837333333,0,0,0,1,0,1,0,1,0,0,0,0.009090909,-0.261231832,0,0.028571429,0.102564103,0,新疆维吾尔自治区
29,b666761dd6fc0c0be18d,0,0,1,0,0,0,1,0,172,78,1,1,1,1,0,0,1,0.88,0,0,0,0,1,1,0,1,0,0,0,0.05518018,-0.209859804,0,0.028571429,0.461538462,0.034482759,湖南省
30,7bbb8eea0dd7d0de5a59,1,0,0,0,0,1,0,0,169,48,1,1,1,0,1,0,1,0.92,0,0,0,0,0,0,1,0,0,0,0,0.025116279,-0.04057357,0,0.342857143,0.230769231,0,贵州省
31,adab9018092caf697aec,0,1,0,0,1,0,1,0,175,85,1,1,1,0,1,0,1,0.916,0,1,0,0,0,2,0,1,0,0,0,0.006944444,-0.261870082,0,0.257142857,0.282051282,0,北京市
32,ffc348c87d06e6408336,0,1,0,0,1,0,1,0,168,65,1,1,1,1,0,0,1,0.88,1,0,0,0,0,1,0,1,0,0,0,0.002849003,-0.261999783,0,0.085714286,0.102564103,0,福建省
33,69a2186136e1155f3c1c,1,0,0,0,1,0,1,0,160,46,0,1,1,1,0,0,0,0.966666667,1,0,0,0,0,0,1,0,0,0,0,0.006,-0.261302395,0,0.028571429,0.102564103,0.034482759,云南省
34,62f22a4e6b783dcebfcc,0,0,1,0,1,0,1,0,174,60,1,1,1,0,0,1,0,0.842666667,1,0,0,0,0,5,0,1,0,0,0,0.008622699,-0.24333041,0,0,0.025641026,0.034482759,湖南省
35,276ba370b101f605b53a,0,1,0,0,1,0,1,0,180,65,1,1,1,1,0,0,0,0.930666667,0,1,0,0,0,5,0,1,0,0,0,0.019431988,-0.252230977,0,0,0.076923077,0,重庆市
36,6f7347f6eed315786869,0,0,1,0,1,0,1,0,172,54,1,1,1,1,0,0,1,0.934666667,0,1,0,0,0,1,0,1,0,0,0,0.001176471,-0.26032056,0,0,0.333333333,0.482758621,湖北省
37,93f11e5c0bf33b5248ff,0,1,0,1,1,0,1,0,166,48,1,1,1,1,0,0,1,0.909333333,0,1,0,0,0,4,0,1,0,0,0,0.065099458,-0.249461226,0,0.228571429,0.41025641,0.034482759,北京市
38,34f0c17b7a9f78536dbd,0,0,1,1,1,0,1,0,164,54,1,1,1,1,0,0,1,0.906666667,1,0,0,0,0,0,0,0,1,0,0,0.000621504,-0.261626989,0,0,0.179487179,0,陕西省
39,5d78924134f8a62a8cb2,0,1,0,0,1,0,1,0,185,77,1,1,1,1,0,0,1,0.888,0,0,0,1,0,1,0,1,0,0,0,0.076,1.18E-15,0,0.085714286,0.102564103,0,北京市
40,6aa9b40b0892845670c3,1,0,0,1,1,0,1,0,168,56,1,1,1,1,0,0,0,0.817333333,0,0,0,0,1,5,0,1,0,0,0,0.028172043,-0.19505157,0,0.285714286,0.512820513,0.034482759,江西省
41,cc637c88352211aaecc9,1,0,0,0,1,1,0,0,176,67,0,0,1,1,0,0,0,0.913333333,1,0,0,0,0,0,1,0,0,0,0,0.001157407,-0.262244985,0,0,0.025641026,0,江西省
42,9bfe7b6e13443cc7346c,1,0,0,1,1,0,1,0,164,54,1,1,1,0,1,0,1,0.914666667,0,0,0,1,0,0,1,0,0,0,0,0.001666667,-0.262053262,0,0,0,0,贵州省
43,7b66b76aac857824b75a,1,0,0,1,1,0,1,0,165,47,1,1,1,0,1,0,1,0.837333333,0,0,0,1,0,1,0,1,0,0,0,0.013904983,-0.244719917,0,0.057142857,0.051282051,0,黑龙江省
44,311061291a8a0d341365,0,0,1,1,0,0,0,1,163,120,1,1,1,0,1,0,1,0.844,0,0,0,1,0,0,0,0,1,0,0,0.001845018,-0.262233057,0,0.028571429,0.128205128,0,湖南省
45,44b53c165b6aa2ccd535,1,0,0,0,0,0,1,0,172,64,0,1,1,0,1,0,0,0.781333333,0,0,1,0,0,0,0,0,1,0,0,0.001440922,-0.262159501,0,0,0,0,内蒙古自治区
46,304d8513b85b2c35210e,0,1,0,1,0,0,1,0,166,55,1,1,1,0,1,0,1,0.892,0,0,1,0,0,1,0,1,0,0,0,0.012820513,-0.200444543,0,0.057142857,0.076923077,0,北京市
47,8769068b2c46220454c4,0,1,0,1,1,0,1,0,166,60,1,1,1,1,0,0,0,0.589583333,1,0,0,0,0,4,0,1,0,0,0,0.009090909,-0.252775908,0,0.085714286,0.461538462,0,江苏省
48,bc29208a3bfd2ea49d2c,1,0,0,1,1,0,1,0,164,54,1,1,1,0,1,0,0,0.829333333,0,0,0,1,0,0,1,0,0,0,0,0.000786782,-0.262173954,0,0.057142857,0.051282051,0,江西省
49,4ba3813bf8bd5d313590,0,1,0,0,1,0,1,0,188,72,1,1,1,1,0,0,1,0.893825679,0,0,0,0,1,0,1,0,0,0,0,0.209677419,0.268929341,0,0.114285714,0.512820513,0.034482759,浙江省
50,b20b5976497a1ffeebe6,0,1,0,1,1,0,1,0,164,54,1,1,1,0,0,1,0,0.925333333,0,1,0,0,0,1,0,1,0,0,0,0.002105263,-0.262087752,0,0.114285714,0.051282051,0,广东省
51,75ace52f4f0b7823d978,1,0,0,0,1,0,1,0,180,65,1,1,1,0,1,0,0,0.854666667,0,0,0,0,0,2,0,1,0,0,0,0.04172851,1.18E-15,0,0,0.051282051,0,甘肃省
52,dcaab860589bdf558a95,1,0,0,0,1,0,1,0,181,95,1,1,1,1,0,0,1,0.885333333,0,0,0,0,1,5,0,1,0,0,0,0.04172851,1.18E-15,0,0,0.179487179,0.206896552,吉林省
53,d4b4d0d3f0b9f12ad853,0,1,0,0,1,0,1,0,180,60,1,1,1,1,0,0,0,0.896,1,0,0,0,0,4,0,1,0,0,0,0.014285714,-0.143754622,0,0.085714286,0.384615385,0,四川省
54,591be0bd000288c3d4b6,0,1,0,1,1,0,1,0,162,47,1,1,1,0,1,0,1,0.885333333,0,0,1,0,0,1,0,1,0,0,0,0.076,1.18E-15,0,0.028571429,0.128205128,0,北京市
55,9da36a4e77afa0c9f60f,0,1,0,0,1,0,1,0,176,83,1,1,1,1,0,0,0,0.909333333,0,0,1,0,0,3,0,1,0,0,0,0.001506024,-0.247121279,0,0.085714286,0,0,北京市
56,7b7f9fc08d73390cc657,0,1,0,0,1,0,1,0,182,74,1,1,1,1,0,0,0,0.804545455,0,0,0,0,0,3,0,1,0,0,0,0.000555247,-0.261167769,0,0.028571429,0.076923077,0.137931034,上海市
57,171a6bebfc01a134f2e0,0,1,0,0,1,1,0,0,173,55,1,1,1,1,0,0,1,0.614583333,0,0,0,0,1,3,0,1,0,0,0,0.033928571,-0.246033893,0,0.085714286,0.205128205,0,江苏省
58,40dc29f67d3a0ea205e4,0,1,0,0,1,0,1,0,185,80,0,1,1,1,0,0,1,0.877227284,1,0,0,0,0,0,0,0,0,0,0,0.005454545,-0.245858316,0,0,0.025641026,0.137931034,浙江省
59,5d3c194be290f2c96d77,0,1,0,0,1,0,1,0,176,67,1,1,1,1,0,0,1,0.908,0,0,0,0,1,5,0,1,0,0,0,0.003963012,-0.261943669,0,0.171428571,0.256410256,0.068965517,安徽省
60,4fb57d342dff7129a443,1,0,0,0,0,0,1,0,180,65,0,1,1,1,0,0,0,0.797333333,0,0,0,0,1,2,0,0,0,1,0,0.00697269,-0.261841114,0,0,0.179487179,0,青海省
61,8dccb5cd67bdc8cc18cd,1,0,0,0,0,0,1,0,170,55,1,1,1,1,0,0,0,0.845333333,1,0,0,0,0,3,0,1,0,0,0,0.008103728,-0.262245872,0,0.085714286,0.256410256,0,广西壮族自治区
62,1fd103e8be8beaf4b38e,0,1,0,1,1,0,1,0,164,54,1,1,1,1,0,0,1,0.889333333,1,0,0,0,0,4,0,1,0,0,0,0.002307692,-0.262204432,0,0.285714286,0.358974359,0,四川省
63,40b1a18c6ace2fef73a2,1,0,0,0,1,0,1,0,178,79,1,1,1,1,0,0,0,0.888,0,0,0,0,1,0,0,0,1,0,0,0.04172851,1.18E-15,0,0.057142857,0.153846154,0.344827586,吉林省
64,78b5f15022b9debd33e4,0,1,0,0,1,0,1,0,175,55,1,1,1,1,0,0,0,0.882666667,0,0,0,0,1,5,0,1,0,0,0,0.231707317,-0.262245872,0,0,0.051282051,0.103448276,北京市
65,9bb5593589a9cf2ebb47,1,0,0,1,1,0,1,0,168,53,1,1,1,0,1,0,1,0.854666667,0,0,0,1,0,0,1,0,0,0,0,0.001428571,-0.262106789,0,0.028571429,0,0,宁夏回族自治区
66,61576e7b94178311e67d,1,0,0,0,1,0,1,0,175,80,1,1,1,1,0,0,0,0.884,1,0,0,0,0,0,1,0,0,0,0,0.0125,1.18E-15,0,0.257142857,0.153846154,0,甘肃省
67,105afdef86e986ef71fc,1,0,0,0,1,0,1,0,176,67,0,1,1,1,0,0,1,0.92,1,0,0,0,0,1,0,1,0,0,0,0.025,-0.19889209,0,0,0.025641026,0.137931034,贵州省
68,71e36ceb820c052c9e79,0,1,0,1,1,0,1,0,158,44,1,1,1,0,1,0,1,0.846666667,0,0,0,1,0,0,1,0,0,0,0,0.005979073,-0.261094989,0,0.057142857,0.128205128,0,福建省
69,6769267e12182afa549a,1,0,0,0,1,0,1,0,176,67,1,1,1,0,1,0,0,0.869333333,0,0,0,1,0,4,0,1,0,0,0,0.006802721,-0.187492741,0,0.057142857,0.153846154,0,吉林省
70,7aea3090c4e2934cf740,0,1,0,1,1,0,1,0,167,67,1,1,1,1,0,0,1,0.916,0,1,0,0,0,0,1,0,0,0,0,0.04172851,1.18E-15,0,0.085714286,0.153846154,0,北京市
71,e745d03ea97e80b218d9,0,1,0,1,1,0,1,0,164,54,1,0,1,0,1,0,0,0.890123333,0,0,1,0,0,0,1,0,0,0,0,0.001745201,-0.262125984,0,0.057142857,0,0,浙江省
72,180d0eb23bebb3beeeba,1,0,0,0,1,0,1,0,176,67,0,0,1,0,1,0,0,0.828,0,0,0,1,0,0,1,0,0,0,0,0.175,0.834543309,0,0.085714286,0.025641026,0,河南省
73,235a38131ca4c3b83ba6,0,1,0,1,0,0,1,0,160,45,1,1,1,0,1,0,1,0.909333333,0,0,0,1,0,0,1,0,0,0,0,0.061764706,-0.262245872,0,0.114285714,0.051282051,0,北京市
74,7940328321deeef0cf0b,0,1,0,0,1,0,1,0,176,67,1,1,1,1,0,0,1,0.94,0,0,0,0,0,3,0,1,0,0,0,0.023072889,-0.257467899,0,0.6,0.435897436,0,北京市
75,eda94f427518b218ca92,0,1,0,0,1,0,1,0,171,50,0,1,1,0,1,0,0,0.893827037,0,0,1,0,0,0,1,0,0,0,0,0.001239157,-0.261963595,0,0,0.025641026,0,浙江省
76,8993df6c2e410dbdb754,0,0,1,1,1,0,1,0,168,60,1,1,1,1,0,0,0,0.950666667,0,1,0,0,0,0,1,0,0,0,0,0.005479452,-0.247249927,0,0.114285714,0.076923077,0,山东省
77,598a18338c72fa41f2ce,0,0,1,0,1,0,1,0,180,62,1,1,1,1,0,0,1,0.932,0,0,0,0,1,1,0,1,0,0,0,0.04172851,1.18E-15,0,0.114285714,0.256410256,0,陕西省
78,762a0e7f473488afd977,1,0,0,0,1,0,1,0,177,75,1,0,1,1,0,0,0,0.896,0,0,1,0,0,0,1,0,0,0,0,0.04172851,1.18E-15,0,0,0.025641026,0,河南省
79,366960eca914f11a9ca9,0,1,0,0,1,1,0,0,176,67,1,1,1,1,0,0,0,0.830666667,0,0,0,0,1,5,0,1,0,0,0,0.13363029,0.089745074,0,0,0.051282051,0.103448276,广东省
80,6058363b49731b7b47d9,0,0,1,1,1,0,1,0,164,54,1,1,1,1,0,0,1,0.901333333,1,0,0,0,0,5,0,1,0,0,0,0.078571429,-0.262245872,0,0,0.205128205,0.620689655,山东省
81,3608b9cfbdb821ac0ae5,0,1,0,0,1,0,1,0,176,66,1,1,1,1,0,0,1,0.914666667,1,0,0,0,0,1,0,1,0,0,0,0.006079027,-0.252165402,0,0.057142857,0.128205128,0,安徽省
82,4719ab8e0d1c1381f1e2,0,1,0,1,1,0,1,0,160,50,1,1,1,0,1,0,0,0.614583333,0,0,0,1,0,2,0,1,0,0,0,0.001257862,-0.262170507,0,0.028571429,0.025641026,0,江苏省
83,3d5ec8b2cdf122ef075e,0,1,0,1,1,0,1,0,163,52,1,1,1,0,1,0,1,0.912,0,1,0,0,0,0,1,0,0,0,0,0.002945508,-0.261987425,0,0.171428571,0.179487179,0,北京市
84,ec26dbc067bbaf6b079e,0,1,0,0,1,0,1,0,175,61,1,1,1,1,0,0,1,0.865333333,1,0,0,0,0,5,0,1,0,0,0,0.008571429,-0.107598115,0,0,0.025641026,0.068965517,北京市
85,d0ea71633b479a1528d3,0,1,0,0,1,0,1,0,172,55,1,1,1,1,0,0,0,0.905333333,0,0,0,0,1,2,0,1,0,0,0,0.002364066,-0.260943423,0,0,0.025641026,0,安徽省
86,e692478d4822fc13d931,0,0,1,0,1,0,1,0,175,62,1,1,1,1,0,0,1,0.878666667,0,0,0,0,1,3,0,1,0,0,0,0.001,-0.261780309,0,0.085714286,0.102564103,0,湖南省
87,971e495b8a2ee5afcf6f,1,0,0,0,1,0,1,0,175,120,1,1,1,1,0,0,1,0.904,1,0,0,0,0,1,0,1,0,0,0,0.007722008,-0.254701108,0,0.314285714,0.384615385,0,辽宁省
88,dbe83b6fbc611a84cf78,0,1,0,0,1,0,1,0,176,67,1,1,1,1,0,0,0,0.916,1,0,0,0,0,2,0,1,0,0,0,0.005357143,-0.262245872,0,0,0,0,重庆市
89,3e2855149848b6774a19,0,1,0,1,1,0,1,0,173,63,1,1,1,0,1,0,0,0.897333333,0,0,0,0,0,0,1,0,0,0,0,0.005836576,-0.262045452,0,0.028571429,0.128205128,0,北京市
90,e45f891a35ec8e66d989,0,0,1,0,1,0,1,0,179,67,1,1,1,1,0,0,1,0.898666667,0,0,0,0,1,5,0,1,0,0,0,0.013011152,-0.260466283,0,0.057142857,0.076923077,0,湖北省
91,a56700354881812b5bdd,0,1,0,1,1,0,1,0,166,50,1,1,1,1,0,0,0,0.936,0,1,0,0,0,0,1,0,0,0,0,0.00241838,-0.254994425,0,0.142857143,0.102564103,0,北京市
92,1533afb2e9e8c7eb8695,0,1,0,0,1,0,1,0,174,59,1,1,1,1,0,0,0,0.897530247,1,0,0,0,0,5,0,1,0,0,0,0.000943396,-0.26222824,0,0.028571429,0.205128205,0,浙江省
93,c7948f13ae58a2730aac,0,0,1,1,1,0,1,0,166,52,1,1,1,0,1,0,0,0.808,0,0,1,0,0,1,0,1,0,0,0,0.088679245,-0.21172032,0,0.057142857,0.076923077,0,湖北省
94,1987012dd922c70ad4ea,1,0,0,1,1,0,1,0,164,54,1,1,1,1,0,0,0,0.913333333,0,0,0,0,1,1,0,1,0,0,0,0.078882498,-0.162527938,0,0,0.205128205,0,吉林省
95,b064d21a1047602daa99,0,1,0,1,1,0,1,0,170,50,1,1,1,1,0,0,0,0.912,0,0,0,1,0,1,0,1,0,0,0,0.00212766,-0.257672165,0,0.2,0.230769231,0,北京市
96,0b6bcfd90c44170bf15e,0,0,1,0,1,0,1,0,172,56,1,1,1,1,0,0,0,0.830666667,1,0,0,0,0,5,0,1,0,0,0,0.013322231,-0.259243723,0,0,0.051282051,0.103448276,湖南省
97,d7082bf936d2888127d5,0,1,0,0,1,1,0,0,176,67,1,1,1,1,0,0,0,0.906666667,1,0,0,0,0,5,0,1,0,0,0,0.013793103,-0.261068037,0,0,0.051282051,0.172413793,重庆市
98,9fc2660d7fa7702a402b,0,1,0,0,1,0,1,0,187,105,1,1,1,0,1,0,1,0.869333333,0,0,0,1,0,0,1,0,0,0,0,0.031358885,-0.262245872,0,0,0.025641026,0,重庆市
99,c9892c6a398228184ad2,0,0,1,1,1,0,1,0,164,54,1,1,1,0,1,0,1,0.853333333,0,0,0,0,0,3,0,1,0,0,0,0.063636364,-0.207396779,0,0.028571429,0.102564103,0,山东省
100,36a656a616bd218786fe,0,1,0,0,1,1,0,0,169,65,1,1,1,1,0,0,1,0.905333333,0,0,0,0,1,5,0,1,0,0,0,0.002018843,-0.262042496,0,0,0.051282051,0.137931034,重庆市
101,77b0ad43dca15956c73e,1,0,0,0,1,0,1,0,176,67,1,1,1,1,0,0,0,0.908,1,0,0,0,0,2,0,1,0,0,0,0.016129032,0.55444476,0,0.085714286,0.205128205,0.24137931,河北省
102,15dea2af09370689dba0,1,0,0,1,1,0,1,0,165,50,1,1,1,1,0,0,1,0.9,1,0,0,0,0,0,0,0,1,0,0,0.005084746,-0.262004579,0,0,0.102564103,0,河南省
103,fdba8a1cadd7d4ad8cee,1,0,0,0,1,0,1,0,168,45,1,1,1,1,0,0,0,0.82,1,0,0,0,0,5,0,1,0,0,0,0.002247191,-0.246974304,0,0,0.051282051,0.172413793,江西省
104,315c1a6f0c46fe4273cf,0,1,0,0,1,0,1,0,176,67,1,1,1,1,0,0,1,0.829629012,1,0,0,0,0,5,0,1,0,0,0,0.003076923,-0.262150725,0,0,0,0,浙江省
105,13d1d97002aac017e86a,1,0,0,0,1,0,1,0,172,53,1,1,1,1,0,0,1,0.937333333,0,0,0,0,1,0,1,0,0,0,0,0.000794281,-0.262071484,0,0,0.128205128,0,吉林省
106,de24917d671e95a1e9dc,0,1,0,0,1,0,1,0,176,67,1,1,1,1,0,0,0,0.757575758,1,0,0,0,0,5,0,1,0,0,0,0.020408163,-0.257356672,0,0.028571429,0.102564103,0.103448276,上海市
107,1aa79a09e52026162d81,0,1,0,0,1,0,1,0,169,53,0,1,1,0,1,0,0,0.883950494,0,0,1,0,0,1,0,0,0,1,0,0.662264151,4.707600934,0,0,0.025641026,0,浙江省
108,c1a9ab9f2fc95af22f11,0,0,1,0,1,0,1,0,176,70,1,1,1,0,1,0,0,0.890666667,0,0,0,0,0,0,1,0,0,0,0,0.002321981,-0.256382953,0,0.028571429,0.128205128,0,山东省
109,ebe7fc2af65b482c3089,0,1,0,1,1,0,1,0,171,60,0,1,1,1,0,0,1,0.5875,1,0,0,0,0,4,0,1,0,0,0,0.005763689,-0.261259036,0,0,0.076923077,0.137931034,江苏省
110,d707d60f59dc3b3de193,1,0,0,1,1,0,1,0,159,56,0,1,1,0,1,0,1,0.916,0,0,0,1,0,1,0,1,0,0,0,0.00617284,-0.260738761,0,0,0,0,贵州省
111,dc229a85d700b2066dd0,1,0,0,0,1,0,1,0,183,65,1,1,1,1,0,0,0,0.841333333,0,0,0,0,1,5,0,1,0,0,0,0.056756757,0.680370648,0,0.028571429,0.025641026,0.068965517,辽宁省
112,caafdc2679c2c1d5e039,1,0,0,0,1,0,1,0,183,65,1,1,1,1,0,0,1,0.924,0,1,0,0,0,0,1,0,0,0,0,0.080139373,-0.262245872,0,0.057142857,0.128205128,0,河南省
113,6278435d824ee73328e9,0,1,0,0,1,0,1,0,177,64,1,1,1,1,0,0,1,0.902666667,0,1,0,0,0,4,0,1,0,0,0,0.009090909,-0.259413295,0,0.057142857,0.230769231,0,福建省
114,ee37bbf05ae6ba5354a6,0,1,0,0,1,0,1,0,181,74,0,0,1,1,0,0,1,0.88,0,0,0,1,0,2,0,0,0,1,0,0.000511247,-0.261896338,0,0.085714286,0,0,安徽省
115,bcbdf7054df36f10beb9,0,1,0,0,1,0,1,0,169,54,1,1,1,1,0,0,0,0.768181818,1,0,0,0,0,5,0,1,0,0,0,0.011661808,-0.262245872,0,0,0.102564103,0.137931034,上海市
116,8cb45f6ff0bad82debea,0,1,0,1,1,1,0,0,163,54,1,1,1,0,1,0,1,0.76969697,0,1,0,0,0,2,0,1,0,0,0,0.006024096,-0.261897445,0,0.257142857,0.256410256,0,上海市
117,ba18c4b2c87bdacbc21b,0,1,0,0,1,0,1,0,178,90,1,1,1,0,1,0,1,0.872,0,1,0,0,0,3,0,1,0,0,0,0.002,-0.249858192,0,0.028571429,0.076923077,0.103448276,重庆市
118,e57ec6a60e7f1b03ad19,0,1,0,0,1,0,1,0,188,70,1,1,1,0,1,0,0,0.572916667,0,0,1,0,0,2,0,1,0,0,0,0.005555556,-0.260786407,0,0.142857143,0.153846154,0,江苏省
119,be83251c1929f081651c,0,1,0,0,1,0,1,0,168,59,1,1,1,1,0,0,1,0.793333333,1,0,0,0,0,5,0,1,0,0,0,0.025974026,-0.254740111,0,0,0,0,福建省
120,fa035e495f1f264228f3,1,0,0,0,1,0,1,0,176,67,1,1,1,1,0,0,1,0.886666667,1,0,0,0,0,2,0,1,0,0,0,0.000746269,-0.262244227,0,0.085714286,0.051282051,0.034482759,山西省
121,1b8fecce8e3dcae0a726,0,1,0,0,1,0,1,0,177,82,1,1,1,1,0,0,1,0.858666667,0,0,0,0,1,5,0,1,0,0,0,0.04172851,1.18E-15,0,0,0,0,重庆市
