,全国卷,自主命题,半自主命题,性别,民族,政治面貌.群众,政治面貌.团员,政治面貌.预备党员,身高,体重,城镇考生,应届考生,外语语种,学科类型.理工,学科类型.文史,学科类型.文理综合,年份,成绩（分数/总分）,学部.理学部,学部.经济与管理学部,学部.人文学部,学部.社会科学学部,学部.信息与工程科学部,优惠加分,大类.普通,大类.自招,大类.定向招生,大类.筑梦,大类.特长生,高三排名,成绩方差,专利数,社会活动,获奖数,竞赛成绩,综合GPA
54,0,1,0,1,1,0,1,0,164,54,1,1,1,0,1,0,1,0.796969697,0,0,1,0,0,4,0,1,0,0,0,0.076,1.18e-15,0.0,0.057142857,0.282051282,0.0,3.58573
55,1,0,0,0,1,0,1,0,178,75,0,1,1,0,1,0,0,0.825333333,0,0,0,1,0,0,1,0,0,0,0,0.001506024,-0.247121279,0.0,0.0,0.076923077,0.0,3.61749
56,1,0,0,1,0,0,1,0,169,61,1,1,1,0,1,0,0,0.905333333,0,1,0,0,0,0,1,0,0,0,0,0.000555247,-0.261167769,0.0,0.114285714,0.102564103,0.0,3.27472
57,0,0,1,0,1,0,1,0,173,60,1,1,1,1,0,0,1,0.844,1,0,0,0,0,5,0,1,0,0,0,0.033928571,-0.246033893,0.0,0.057142857,0.230769231,0.137931034,3.50215
58,1,0,0,1,1,0,1,0,164,54,0,1,1,0,1,0,0,0.901333333,0,0,1,0,0,0,1,0,0,0,0,0.005454545,-0.245858316,0.0,0.0,0.051282051,0.0,3.61814
59,1,0,0,1,0,0,1,0,159,48,0,1,1,1,0,0,1,0.910666667,1,0,0,0,0,0,0,0,1,0,0,0.003963012,-0.261943669,0.0,0.0,0.128205128,0.068965517,3.51447
60,0,0,1,0,1,0,1,0,181,65,1,1,1,1,0,0,1,0.921333333,1,0,0,0,0,3,0,1,0,0,0,0.00697269,-0.261841114,0.0,0.0,0.076923077,0.24137931,3.60837
61,0,1,0,0,1,0,1,0,176,67,1,1,1,1,0,0,1,0.870666667,0,0,0,1,0,4,0,1,0,0,0,0.008103728,-0.262245872,0.0,0.0,0.128205128,0.137931034,3.73038
62,1,0,0,0,1,0,1,0,176,67,1,1,1,1,0,0,0,0.913333333,0,0,0,0,1,0,1,0,0,0,0,0.002307692,-0.262204432,0.0,0.0,0.051282051,0.103448276,3.35206
63,0,1,0,0,1,0,1,0,179,58,1,1,1,1,0,0,1,0.822727273,1,0,0,0,0,5,0,1,0,0,0,0.04172851,1.18e-15,0.0,0.0,0.153846154,0.103448276,3.06915
64,0,1,0,0,1,0,1,0,176,67,1,1,1,1,0,0,1,0.894666667,0,0,0,0,1,1,0,1,0,0,0,0.231707317,-0.262245872,0.0,0.2,0.128205128,0.034482759,3.3295
65,1,0,0,0,1,0,1,0,178,60,1,1,1,1,0,0,0,0.910666667,1,0,0,0,0,2,0,1,0,0,0,0.001428571,-0.262106789,0.0,0.028571429,0.128205128,0.068965517,3.35714
66,0,1,0,0,1,0,1,0,170,55,0,1,1,1,0,0,0,0.885184568,0,0,0,0,1,2,0,1,0,0,0,0.0125,1.18e-15,0.0,0.0,0.153846154,0.034482759,3.0922
67,0,1,0,0,0,0,1,0,185,85,1,1,1,1,0,0,1,0.912,0,0,0,0,0,1,0,1,0,0,0,0.025,-0.19889209,0.0,0.2,0.102564103,0.103448276,3.60893
68,1,0,0,0,1,0,1,0,176,67,1,1,1,1,0,0,0,0.92,1,0,0,0,0,0,1,0,0,0,0,0.005979073,-0.261094989,0.0,0.0,0.384615385,0.103448276,2.99712
69,0,1,0,0,1,0,1,0,165,55,1,1,1,0,1,0,1,0.846666667,0,0,1,0,0,1,0,1,0,0,0,0.006802721,-0.187492741,0.0,0.028571429,0.025641026,0.0,3.74203
70,1,0,0,0,1,0,1,0,184,75,1,1,1,1,0,0,0,0.886666667,1,0,0,0,0,0,0,0,1,0,0,0.04172851,1.18e-15,0.0,0.028571429,0.051282051,0.068965517,2.96514
71,1,0,0,0,0,0,0,1,176,67,1,1,1,0,1,0,0,0.902666667,0,1,0,0,0,0,1,0,0,0,0,0.001745201,-0.262125984,0.0,0.314285714,0.153846154,0.0,3.54376
72,1,0,0,0,1,0,1,0,176,67,1,1,1,1,0,0,1,0.882666667,1,0,0,0,0,1,0,1,0,0,0,0.175,0.834543309,0.0,0.0,0.076923077,0.0,2.07271
73,0,1,0,1,1,0,1,0,168,54,1,1,1,1,0,0,0,0.914666667,1,0,0,0,0,2,0,1,0,0,0,0.061764706,-0.262245872,0.0,0.2,0.282051282,0.0,3.37454
74,0,0,1,0,1,0,1,0,170,68,0,1,1,1,0,0,1,0.841333333,1,0,0,0,0,5,0,1,0,0,0,0.023072889,-0.257467899,0.0,0.0,0.076923077,0.206896552,2.55015
75,0,1,0,0,1,0,1,0,176,67,1,1,1,1,0,0,1,0.932,1,0,0,0,0,3,0,1,0,0,0,0.001239157,-0.261963595,0.0,0.028571429,0.076923077,0.034482759,3.844
76,1,0,0,1,1,0,1,0,152,45,0,0,1,1,0,0,0,0.865333333,0,0,0,1,0,0,0,0,1,0,0,0.005479452,-0.247249927,0.0,0.028571429,0.205128205,0.0,3.44166
77,0,1,0,0,1,0,1,0,176,75,1,1,1,1,0,0,1,0.841975185,1,0,0,0,0,5,0,1,0,0,0,0.04172851,1.18e-15,0.0,0.0,0.0,0.0,3.81554
78,0,1,0,1,0,0,1,0,169,49,1,1,1,0,1,0,1,0.81969697,0,0,0,1,0,0,1,0,0,0,0,0.04172851,1.18e-15,0.0,0.114285714,0.102564103,0.0,3.59211
79,0,0,1,0,1,0,1,0,170,78,1,1,1,1,0,0,0,0.876,1,0,0,0,0,5,0,1,0,0,0,0.13363029,0.089745074,0.0,0.028571429,0.051282051,0.172413793,3.40355
80,0,1,0,1,1,0,1,0,166,56,1,1,1,1,0,0,0,0.924,1,0,0,0,0,0,1,0,0,0,0,0.078571429,-0.262245872,0.0,0.142857143,0.153846154,0.0,3.43956
81,1,0,0,1,1,0,1,0,164,54,1,1,1,0,1,0,1,0.874666667,0,0,0,1,0,0,1,0,0,0,0,0.006079027,-0.252165402,0.0,0.057142857,0.153846154,0.0,3.59021
82,0,1,0,1,1,0,1,0,168,54,0,1,1,0,1,0,1,0.834666667,0,0,1,0,0,0,0,0,1,0,0,0.001257862,-0.262170507,0.0,0.028571429,0.076923077,0.0,3.57135
83,1,0,0,1,1,0,1,0,161,50,1,1,1,1,0,0,1,0.928,0,0,0,0,0,3,0,1,0,0,0,0.002945508,-0.261987425,0.0,0.0,0.179487179,0.0,3.12567
84,1,0,0,0,1,0,1,0,185,83,1,1,1,0,1,0,1,0.837333333,0,0,0,1,0,2,0,1,0,0,0,0.008571429,-0.107598115,0.0,0.257142857,0.179487179,0.0,3.42788
85,1,0,0,1,1,0,1,0,168,68,1,1,1,0,1,0,0,0.857333333,0,1,0,0,0,0,1,0,0,0,0,0.002364066,-0.260943423,0.0,0.028571429,0.0,0.0,3.19406
86,1,0,0,1,1,0,1,0,160,44,1,1,1,0,1,0,1,0.841333333,0,0,0,0,0,0,0,0,1,0,0,0.001,-0.261780309,0.0,0.0,0.153846154,0.172413793,3.72374
87,0,1,0,1,1,0,1,0,162,50,0,1,1,0,1,0,1,0.869135556,0,0,1,0,0,0,1,0,0,0,0,0.007722008,-0.254701108,0.0,0.085714286,0.153846154,0.0,3.54214
88,0,1,0,1,1,0,1,0,166,50,1,1,1,1,0,0,0,0.953333333,0,1,0,0,0,5,0,1,0,0,0,0.005357143,-0.262245872,0.0,0.085714286,0.282051282,0.172413793,3.82349
89,0,1,0,1,1,0,1,0,164,56,1,1,1,1,0,0,0,0.58125,0,0,0,0,1,5,0,1,0,0,0,0.005836576,-0.262045452,0.0,0.2,0.41025641,0.206896552,3.18742
90,0,0,1,0,1,0,1,0,185,88,1,1,1,1,0,0,1,0.930666667,0,0,0,0,0,1,0,1,0,0,0,0.013011152,-0.260466283,0.0,0.057142857,0.205128205,0.0,3.34914
91,1,0,0,1,1,0,1,0,166,55,1,1,1,1,0,0,0,0.842666667,1,0,0,0,0,3,0,1,0,0,0,0.00241838,-0.254994425,0.0,0.028571429,0.128205128,0.0,3.78511
92,0,0,1,1,1,0,1,0,166,51,1,1,1,1,0,0,0,0.914666667,0,0,0,0,0,0,1,0,0,0,0,0.000943396,-0.26222824,0.0,0.028571429,0.128205128,0.103448276,3.69366
93,0,1,0,1,1,0,1,0,172,60,1,1,1,1,0,0,1,0.930666667,0,0,0,0,0,0,1,0,0,0,0,0.088679245,-0.21172032,0.0,0.342857143,0.435897436,0.0,3.76436
94,0,1,0,0,1,0,1,0,180,55,1,1,1,1,0,0,1,0.886666667,1,0,0,0,0,5,0,1,0,0,0,0.078882498,-0.162527938,0.0,0.0,0.0,0.0,3.68366
95,0,1,0,0,1,0,1,0,182,84,1,1,1,1,0,0,1,0.909876049,0,1,0,0,0,4,0,1,0,0,0,0.00212766,-0.257672165,0.0,0.028571429,0.153846154,0.344827586,3.9072
96,0,1,0,0,1,0,1,0,167,55,1,1,1,1,0,0,0,0.902666667,1,0,0,0,0,1,0,1,0,0,0,0.013322231,-0.259243723,0.0,0.0,0.051282051,0.034482759,2.7555
97,1,0,0,1,0,1,0,0,164,54,0,1,1,0,1,0,1,0.774666667,0,0,0,1,0,0,1,0,0,0,0,0.013793103,-0.261068037,0.0,0.0,0.0,0.0,2.30073
98,0,1,0,0,1,0,1,0,179,75,1,1,1,1,0,0,1,0.898666667,0,0,0,0,1,1,0,1,0,0,0,0.031358885,-0.262245872,0.0,0.114285714,0.102564103,0.0,3.46086
99,0,1,0,1,1,0,1,0,157,48,1,1,1,0,1,0,1,0.877333333,0,0,1,0,0,2,0,1,0,0,0,0.063636364,-0.207396779,0.0,0.285714286,0.307692308,0.0,3.83115
100,0,0,1,0,1,0,0,1,177,58,1,1,1,1,0,0,0,0.878666667,0,0,0,0,1,3,0,1,0,0,0,0.002018843,-0.262042496,0.0,0.085714286,0.128205128,0.103448276,3.40002
101,0,1,0,1,1,0,1,0,164,47,1,1,1,0,1,0,1,0.913333333,0,0,0,1,0,1,0,1,0,0,0,0.016129032,0.55444476,0.0,0.114285714,0.051282051,0.0,3.56075
102,0,0,1,0,0,0,1,0,169,57,0,1,1,1,0,0,1,0.853333333,1,0,0,0,0,1,0,0,0,1,0,0.005084746,-0.262004579,0.0,0.028571429,0.333333333,0.0,2.93509
103,1,0,0,0,1,0,1,0,176,67,1,0,1,1,0,0,0,0.932,0,0,0,0,0,0,1,0,0,0,0,0.002247191,-0.246974304,0.0,0.028571429,0.051282051,0.0,3.16108
104,0,1,0,0,1,0,1,0,180,70,1,1,1,1,0,0,1,0.925925802,1,0,0,0,0,5,0,1,0,0,0,0.003076923,-0.262150725,0.0,0.085714286,0.179487179,0.034482759,3.66414
105,0,1,0,1,1,0,1,0,164,54,1,1,1,0,1,0,1,0.837333333,0,0,1,0,0,2,0,1,0,0,0,0.000794281,-0.262071484,0.0,0.0,0.153846154,0.0,3.59183
106,1,0,0,0,1,0,1,0,177,68,1,1,1,1,0,0,1,0.852,0,0,0,0,1,5,0,1,0,0,0,0.020408163,-0.257356672,0.0,0.085714286,0.230769231,0.413793103,3.42181
107,0,1,0,0,1,0,1,0,176,67,1,1,1,0,0,1,0,0.793771728,0,0,0,0,1,5,0,1,0,0,0,0.662264151,4.707600934,0.0,0.0,0.0,0.0,3.26976
108,1,0,0,0,1,0,1,0,182,76,1,1,1,1,0,0,1,0.925333333,0,1,0,0,0,0,1,0,0,0,0,0.002321981,-0.256382953,0.0,0.0,0.102564103,0.034482759,2.73589
109,1,0,0,1,1,1,0,0,165,51,1,1,1,0,1,0,0,0.846666667,0,1,0,0,0,2,0,1,0,0,0,0.005763689,-0.261259036,0.0,0.028571429,0.102564103,0.0,3.1191
110,1,0,0,0,1,0,1,0,187,120,1,1,1,1,0,0,1,0.922666667,1,0,0,0,0,0,1,0,0,0,0,0.00617284,-0.260738761,0.0,0.228571429,0.41025641,0.0,3.22765
111,0,1,0,1,1,0,1,0,160,48,1,1,1,1,0,0,1,0.890666667,0,0,0,0,1,1,0,1,0,0,0,0.056756757,0.680370648,0.0,0.257142857,0.230769231,0.0,3.45383
112,0,1,0,0,0,0,1,0,183,62,1,1,1,1,0,0,1,0.918666667,0,0,0,0,0,0,1,0,0,0,0,0.080139373,-0.262245872,0.0,0.085714286,0.051282051,0.0,3.34584
113,0,0,1,1,1,0,1,0,157,58,1,1,1,1,0,0,1,0.928,0,0,0,0,1,3,0,1,0,0,0,0.009090909,-0.259413295,0.0,0.085714286,0.230769231,0.0,2.47394
114,1,0,0,0,0,0,1,0,175,65,0,1,1,1,0,0,1,0.870666667,1,0,0,0,0,3,0,0,0,1,0,0.000511247,-0.261896338,0.333333333,0.0,0.102564103,0.137931034,3.51364
115,1,0,0,1,1,0,1,0,173,63,1,1,1,0,1,0,0,0.838666667,0,0,0,1,0,0,0,0,1,0,0,0.011661808,-0.262245872,0.0,0.0,0.0,0.0,3.56026
116,0,0,1,0,1,0,1,0,180,70,1,1,1,0,1,0,1,0.848,0,0,1,0,0,1,0,1,0,0,0,0.006024096,-0.261897445,0.0,0.0,0.282051282,0.0,3.53265
117,0,1,0,0,1,0,1,0,177,66,1,1,1,1,0,0,1,0.916049259,1,0,0,0,0,5,0,1,0,0,0,0.002,-0.249858192,0.0,0.0,0.128205128,0.0,3.4696
118,0,1,0,0,1,0,1,0,175,73,1,1,1,1,0,0,1,0.934666667,1,0,0,0,0,5,0,1,0,0,0,0.005555556,-0.260786407,0.0,0.0,0.102564103,0.068965517,3.88382
119,1,0,0,0,1,0,1,0,173,69,1,1,1,0,1,0,0,0.872,0,1,0,0,0,4,0,1,0,0,0,0.025974026,-0.254740111,0.0,0.2,0.384615385,0.0,2.59817
120,1,0,0,0,1,0,1,0,173,64,0,1,1,0,1,0,1,0.794666667,0,0,0,1,0,2,0,1,0,0,0,0.000746269,-0.262244227,0.0,0.0,0.0,0.0,3.78375
121,0,1,0,0,1,0,1,0,178,61,1,1,1,1,0,0,0,0.756060606,1,0,0,0,0,5,0,1,0,0,0,0.04172851,1.18e-15,0.0,0.028571429,0.102564103,0.0,3.32522
122,0,0,1,0,1,0,1,0,166,75,1,1,1,1,0,0,1,0.865333333,1,0,0,0,0,5,0,1,0,0,0,0.041428571,-0.049084822,0.0,0.085714286,0.076923077,0.068965517,3.7946
123,0,1,0,1,1,0,1,0,165,56,1,1,1,0,1,0,0,0.862666667,0,0,1,0,0,1,0,1,0,0,0,0.00591716,-0.257154177,0.0,0.028571429,0.076923077,0.0,3.7517
124,0,1,0,0,1,0,1,0,173,55,1,1,1,1,0,0,1,0.850666667,1,0,0,0,0,5,0,1,0,0,0,0.471698113,4.592473497,0.0,0.057142857,0.076923077,0.379310345,3.52615
125,0,1,0,1,1,0,1,0,168,53,1,1,1,1,0,0,0,0.877333333,0,0,0,1,0,2,0,1,0,0,0,0.00194704,-0.262155772,0.0,0.028571429,0.128205128,0.0,3.47719
126,0,1,0,1,0,0,1,0,160,48,1,1,1,1,0,0,1,0.930666667,0,1,0,0,0,1,0,1,0,0,0,0.000890472,-0.257504302,0.0,0.2,0.358974359,0.103448276,3.856
127,0,1,0,1,1,0,1,0,167,52,0,1,1,0,1,0,1,0.854666667,0,0,1,0,0,3,0,0,0,1,0,0.009803922,-0.260998585,0.0,0.057142857,0.153846154,0.0,3.60958
129,0,1,0,1,0,0,1,0,163,50,1,1,1,0,1,0,1,0.902666667,0,0,1,0,0,0,1,0,0,0,0,0.065,0.601399966,0.0,0.085714286,0.051282051,0.0,3.44654
130,1,0,0,1,1,0,1,0,164,54,1,1,1,0,1,0,1,0.82,0,0,0,0,0,2,0,1,0,0,0,0.005555556,-0.249697226,0.0,0.114285714,0.051282051,0.0,3.54528
131,0,1,0,0,1,0,1,0,180,60,1,1,1,1,0,0,0,0.884,1,0,0,0,0,5,0,1,0,0,0,0.116393443,0.032984328,0.0,0.0,0.025641026,0.0,3.66928
132,0,1,0,0,1,0,1,0,178,65,1,1,1,0,1,0,0,0.82,0,0,1,0,0,3,0,1,0,0,0,0.011494253,-0.231048845,0.0,0.057142857,0.102564103,0.0,3.0889
133,0,1,0,1,1,0,1,0,164,54,1,1,1,0,1,0,0,0.614583333,0,0,1,0,0,0,1,0,0,0,0,0.004716981,-0.261485992,0.0,0.028571429,0.179487179,0.0,2.8736
