,生源省市,学生ID,全国卷,自主命题,半自主命题,性别,民族,政治面貌.群众,政治面貌.团员,政治面貌.预备党员,身高,体重,城镇考生,应届考生,外语语种,学科类型.理工,学科类型.文史,学科类型.文理综合,年份,成绩（分数/总分）,学部.理学部,学部.经济与管理学部,学部.人文学部,学部.社会科学学部,学部.信息与工程科学部,优惠加分,大类.普通,大类.自招,大类.定向招生,大类.筑梦,大类.特长生,高三排名,成绩方差,专利数,社会活动,获奖数,竞赛成绩,综合GPA
10,北京市,828f06a02e2b844fe7f6,0,1,0,0,1,0,1,0,185,82,1,1,1,1,0,0,1,0.910666667,0,0,0,0,0,1,0,1,0,0,0,0.023076923,0.649004236,0,0,0.102564103,0,3.48831
11,山东省,3f70dbc335bdc0d24273,0,0,1,0,1,0,1,0,188,73,1,1,1,1,0,0,1,0.906666667,1,0,0,0,0,2,0,1,0,0,0,0.00241838,-0.262049429,0,0.142857143,0.076923077,0,3.57785
12,广东省,cdcb9302af4c1e78ac10,0,1,0,1,1,0,1,0,169,56,1,1,1,1,0,0,0,0.9,1,0,0,0,0,3,0,1,0,0,0,0.005882353,-0.261875713,0,0.028571429,0.128205128,0,3.00231
13,天津市,805d0a2dda6558aed6b3,0,1,0,0,1,0,1,0,177,70,1,1,1,1,0,0,1,0.912,0,1,0,0,0,3,0,1,0,0,0,0.010169492,-0.260759414,0,0.457142857,0.487179487,0.103448276,3.92898
14,江苏省,79274ff76cdf19c1027c,0,1,0,0,1,0,1,0,171,70,1,1,1,1,0,0,0,0.591666667,1,0,0,0,0,1,0,1,0,0,0,0.003555556,-0.260519117,0,0.114285714,0.102564103,0.068965517,3.77806
15,湖南省,a8a1ed8d39bff1593ce3,0,0,1,1,1,0,1,0,163,50,1,1,1,1,0,0,1,0.925333333,1,0,0,0,0,5,0,1,0,0,0,0.001158749,-0.260629156,0,0,0.128205128,0,3.88062
16,贵州省,c615641338e2dda75cfd,1,0,0,1,1,0,1,0,164,55,1,1,1,0,1,0,0,0.910666667,0,0,0,0,0,1,0,1,0,0,0,0.03,-0.245699208,0,0.028571429,0.025641026,0,3.48804
17,青海省,c77277f0c27bbc6b64c5,1,0,0,0,1,0,1,0,175,65,1,1,1,1,0,0,1,0.869333333,1,0,0,0,0,5,0,1,0,0,0,0.001669449,-0.257872233,0,0.028571429,0.128205128,0,3.38481
18,安徽省,16b0253cf69a78906eba,0,1,0,1,1,0,1,0,163,50,1,1,1,0,1,0,0,0.918666667,0,1,0,0,0,0,1,0,0,0,0,0.001545595,-0.261485524,0,0.028571429,0.025641026,0,3.66787
19,甘肃省,c18d401df1d2fe056995,1,0,0,0,1,0,1,0,180,60,1,1,1,1,0,0,1,0.92,1,0,0,0,0,0,1,0,0,0,0,0.234615385,0.599488683,0,0,0.230769231,0,3.45536
20,广西壮族自治区,708fcf3d873f433b9672,1,0,0,0,1,0,1,0,172,70,1,1,1,1,0,0,1,0.914666667,0,1,0,0,0,2,0,1,0,0,0,0.006034483,-0.261778358,0,0,0.179487179,0.034482759,2.89082
21,浙江省,3954bed6f5e1cf4a3a71,0,1,0,1,1,0,1,0,164,54,1,1,1,0,1,0,0,0.895061235,0,1,0,0,0,0,1,0,0,0,0,0.047008547,-0.159043028,0,0.057142857,0.153846154,0,3.7141
22,上海市,53c49e7bee042a52e113,0,1,0,0,1,0,1,0,170,75,1,1,1,1,0,0,0,0.742424242,1,0,0,0,0,5,0,1,0,0,0,0.335,0.35716992,0,0,0.102564103,0,3.28972
23,北京市,a734d30b4df7f4a8f35a,0,1,0,1,1,0,1,0,172,62,1,1,1,1,0,0,1,0.92,0,0,0,0,0,3,0,1,0,0,0,0.002777778,-0.262245872,0,0.142857143,0.153846154,0.103448276,3.65499
24,浙江省,60bd7b40434dcd798495,0,1,0,0,1,0,1,0,185,84,1,1,1,1,0,0,1,0.87901037,0,0,0,0,1,3,0,1,0,0,0,0.04,0.193057127,0,0.085714286,0.153846154,0,3.40898
25,北京市,646f333a932b0ee4dc84,0,1,0,1,1,0,1,0,165,68,1,1,1,1,0,0,0,0.924,0,1,0,0,0,1,0,1,0,0,0,0.137142857,2.697285218,0,0.057142857,0.051282051,0,3.19256
26,湖北省,4d00ac9e60a02f9e679c,0,0,1,0,1,0,1,0,176,67,1,1,1,1,0,0,0,0.850666667,1,0,0,0,0,5,0,1,0,0,0,0.0375,-0.237818075,0,0.057142857,0.282051282,0,3.28288
27,北京市,392f4abf3cbfed3fec2b,0,1,0,0,1,0,1,0,168,58,1,1,1,1,0,0,1,0.902666667,0,0,1,0,0,0,1,0,0,0,0,0.228222997,-0.262245872,0,0,0.051282051,0,3.51694
28,湖北省,63aa9dadc307bf755709,0,0,1,0,1,0,1,0,176,67,1,1,1,1,0,0,1,0.914666667,1,0,0,0,0,5,0,1,0,0,0,0.009090909,-0.261231832,0,0,0.102564103,0.517241379,3.54671
29,安徽省,cb6e4c0a41443382675a,0,1,0,0,1,0,1,0,187,90,1,1,1,1,0,0,1,0.894666667,1,0,0,0,0,5,0,1,0,0,0,0.05518018,-0.209859804,0,0.028571429,0.128205128,0.344827586,3.1729
30,安徽省,a2ded2805594c5cd16bb,0,1,0,0,1,0,1,0,177,80,0,1,1,1,0,0,1,0.842666667,1,0,0,0,0,5,0,1,0,0,0,0.025116279,-0.04057357,0,0.028571429,0.025641026,0.137931034,3.44123
31,黑龙江省,2e0492717fe87d76e537,1,0,0,0,1,0,1,0,180,72,1,1,1,0,1,0,1,0.849333333,0,1,0,0,0,3,0,1,0,0,0,0.006944444,-0.261870082,0,0.085714286,0.282051282,0.068965517,2.33079
32,山东省,56ae6fe02a31e8d1e930,0,0,1,0,1,0,1,0,171,58,1,1,1,1,0,0,0,0.92,0,0,0,0,1,1,0,1,0,0,0,0.002849003,-0.261999783,0,0.028571429,0.128205128,0,3.39938
33,湖北省,ea604e20aa1eb0d0bf21,0,0,1,0,1,0,1,0,165,50,1,1,1,1,0,0,1,0.889333333,1,0,0,0,0,3,0,1,0,0,0,0.006,-0.261302395,0,0.142857143,0.358974359,0,3.62515
34,河北省,9768bc7ccabcfba71e84,1,0,0,0,1,0,1,0,172,55,1,1,1,1,0,0,0,0.886666667,1,0,0,0,0,4,0,1,0,0,0,0.008622699,-0.24333041,0,0,0.051282051,0.034482759,2.15251
35,湖南省,ba4f0def6c963cf8e716,0,0,1,0,1,0,1,0,172,50,0,1,1,1,0,0,1,0.818666667,0,0,0,0,1,5,0,1,0,0,0,0.019431988,-0.252230977,0,0,0.051282051,0.103448276,2.88535
36,辽宁省,e1c019f42d75a1ce8d8a,1,0,0,0,1,0,1,0,177,83,1,1,1,1,0,0,0,0.926666667,1,0,0,0,0,2,0,1,0,0,0,0.001176471,-0.26032056,0,0.2,0.230769231,0,3.83785
37,吉林省,3813bb91efa28c4f6059,1,0,0,0,1,0,1,0,176,67,1,1,1,1,0,0,1,0.842666667,1,0,0,0,0,5,0,1,0,0,0,0.065099458,-0.249461226,0,0,0.025641026,0.068965517,3.40082
38,江西省,b95521c555351756a013,1,0,0,0,1,0,1,0,182,65,1,1,1,1,0,0,1,0.926666667,0,1,0,0,0,2,0,1,0,0,0,0.000621504,-0.261626989,0,0,0.205128205,0,3.66765
39,陕西省,729185de7be0a9748686,0,0,1,1,1,0,1,0,170,55,1,1,1,1,0,0,1,0.949333333,0,1,0,0,0,5,0,1,0,0,0,0.076,1.18E-15,0,0.228571429,0.41025641,0,3.79195
40,河北省,1c3d26ece82c1f1f9537,1,0,0,0,1,0,1,0,176,67,1,1,1,1,0,0,1,0.925333333,1,0,0,0,0,5,0,1,0,0,0,0.028172043,-0.19505157,0,0,0.025641026,0.137931034,3.17842
41,河北省,9c4af9a1f238fedb16fa,1,0,0,1,1,1,0,0,171,65,0,1,1,1,0,0,1,0.892,1,0,0,0,0,3,0,0,0,1,0,0.001157407,-0.262244985,0,0.028571429,0.153846154,0,3.67542
42,江苏省,946eb7687a593583e075,0,1,0,0,1,0,1,0,172,65,1,1,1,0,1,0,0,0.585416667,0,0,0,1,0,1,0,1,0,0,0,0.001666667,-0.262053262,0,0.085714286,0.153846154,0,3.3861
43,湖南省,3debbdca54d575467bd4,0,0,1,1,1,0,1,0,169,60,1,1,1,1,0,0,1,0.893333333,0,0,0,0,1,1,0,1,0,0,0,0.013904983,-0.244719917,0,0.171428571,0.256410256,0.103448276,3.34306
44,山东省,378fdd1bcb474a16d342,0,0,1,0,1,0,1,0,175,68,1,1,1,1,0,0,0,0.942666667,0,1,0,0,0,4,0,1,0,0,0,0.001845018,-0.262233057,0,0,0.230769231,0.310344828,3.84161
45,山东省,141775e0992cd24ae0f3,0,0,1,0,1,0,1,0,183,75,1,1,1,1,0,0,0,0.932,0,0,0,0,0,3,0,1,0,0,0,0.001440922,-0.262159501,0,0.085714286,0.205128205,0.206896552,3.81166
46,辽宁省,cdc9531931624bfe1ec4,1,0,0,0,1,0,1,0,176,65,1,1,1,0,1,0,1,0.856,0,0,0,1,0,0,1,0,0,0,0,0.012820513,-0.200444543,0,0.028571429,0.051282051,0.103448276,3.28927
47,湖北省,441f8bd47d8591e95caf,0,0,1,0,1,0,1,0,189,67,0,0,1,1,0,0,1,0.906666667,1,0,0,0,0,1,0,1,0,0,0,0.009090909,-0.252775908,0,0,0.205128205,0.068965517,2.71978
48,山东省,2ed9994427ae6da72f7b,0,0,1,1,1,0,1,0,163,55,0,1,1,0,1,0,0,0.878666667,0,0,0,1,0,0,1,0,0,0,0,0.000786782,-0.262173954,0,0.085714286,0.179487179,0,3.47349
49,北京市,118a157e5cbe38bdcad2,0,1,0,0,0,1,0,0,177,63,1,1,1,0,1,0,1,0.890666667,0,0,0,1,0,1,0,1,0,0,0,0.209677419,0.268929341,0,0.028571429,0,0,3.62279
50,江西省,86cda6fc9f9605e2cea3,1,0,0,0,1,0,1,0,175,55,0,1,1,1,0,0,1,0.873333333,0,0,0,1,0,2,0,0,0,1,0,0.002105263,-0.262087752,0,0,0.051282051,0,2.60647
51,上海市,af0aa490679a502abd15,0,1,0,0,0,0,1,0,173,70,1,1,1,1,0,0,1,0.801515152,1,0,0,0,0,5,0,1,0,0,0,0.04172851,1.18E-15,0,0.142857143,0.205128205,0.137931034,3.59333
52,北京市,927922c3edab90f85d29,0,1,0,1,1,0,1,0,168,50,1,1,1,0,1,0,0,0.897333333,0,0,1,0,0,0,1,0,0,0,0,0.04172851,1.18E-15,0,0.028571429,0.307692308,0,3.22773
53,广西壮族自治区,d82bfa7d779c6be4d160,1,0,0,1,0,0,1,0,169,56,1,1,1,1,0,0,0,0.892,0,0,0,0,1,0,1,0,0,0,0,0.014285714,-0.143754622,0,0.171428571,0.153846154,0,3.11006
54,上海市,6030a719c265a0df3bb8,0,1,0,1,1,0,1,0,164,54,1,1,1,0,1,0,1,0.796969697,0,0,1,0,0,4,0,1,0,0,0,0.076,1.18E-15,0,0.057142857,0.282051282,0,3.58573
55,河南省,98b5ced8cd123ed7cc3c,1,0,0,0,1,0,1,0,178,75,0,1,1,0,1,0,0,0.825333333,0,0,0,1,0,0,1,0,0,0,0,0.001506024,-0.247121279,0,0,0.076923077,0,3.61749
56,云南省,d627ad34a97b726e8209,1,0,0,1,0,0,1,0,169,61,1,1,1,0,1,0,0,0.905333333,0,1,0,0,0,0,1,0,0,0,0,0.000555247,-0.261167769,0,0.114285714,0.102564103,0,3.27472
57,湖南省,72ddf7aead3234e1d953,0,0,1,0,1,0,1,0,173,60,1,1,1,1,0,0,1,0.844,1,0,0,0,0,5,0,1,0,0,0,0.033928571,-0.246033893,0,0.057142857,0.230769231,0.137931034,3.50215
58,贵州省,a2f65322f25e7c088e25,1,0,0,1,1,0,1,0,164,54,0,1,1,0,1,0,0,0.901333333,0,0,1,0,0,0,1,0,0,0,0,0.005454545,-0.245858316,0,0,0.051282051,0,3.61814
59,河北省,6ac8d50bfe4f0c8a8c18,1,0,0,1,0,0,1,0,159,48,0,1,1,1,0,0,1,0.910666667,1,0,0,0,0,0,0,0,1,0,0,0.003963012,-0.261943669,0,0,0.128205128,0.068965517,3.51447
60,湖北省,f38906a98e2f72da39fc,0,0,1,0,1,0,1,0,181,65,1,1,1,1,0,0,1,0.921333333,1,0,0,0,0,3,0,1,0,0,0,0.00697269,-0.261841114,0,0,0.076923077,0.24137931,3.60837
61,安徽省,cca89e4377e3917aba35,0,1,0,0,1,0,1,0,176,67,1,1,1,1,0,0,1,0.870666667,0,0,0,1,0,4,0,1,0,0,0,0.008103728,-0.262245872,0,0,0.128205128,0.137931034,3.73038
62,江西省,1ce78c13fcb3e4a2d09e,1,0,0,0,1,0,1,0,176,67,1,1,1,1,0,0,0,0.913333333,0,0,0,0,1,0,1,0,0,0,0,0.002307692,-0.262204432,0,0,0.051282051,0.103448276,3.35206
63,上海市,92fc4279808da4b6631a,0,1,0,0,1,0,1,0,179,58,1,1,1,1,0,0,1,0.822727273,1,0,0,0,0,5,0,1,0,0,0,0.04172851,1.18E-15,0,0,0.153846154,0.103448276,3.06915
64,北京市,37dfbee1410263b72c49,0,1,0,0,1,0,1,0,176,67,1,1,1,1,0,0,1,0.894666667,0,0,0,0,1,1,0,1,0,0,0,0.231707317,-0.262245872,0,0.2,0.128205128,0.034482759,3.3295
65,宁夏回族自治区,7942c575aae5f5c5bb6e,1,0,0,0,1,0,1,0,178,60,1,1,1,1,0,0,0,0.910666667,1,0,0,0,0,2,0,1,0,0,0,0.001428571,-0.262106789,0,0.028571429,0.128205128,0.068965517,3.35714
66,浙江省,a225932e8752a63ad2ba,0,1,0,0,1,0,1,0,170,55,0,1,1,1,0,0,0,0.885184568,0,0,0,0,1,2,0,1,0,0,0,0.0125,1.18E-15,0,0,0.153846154,0.034482759,3.0922
67,北京市,0eaa1ea8f9f064c1ea02,0,1,0,0,0,0,1,0,185,85,1,1,1,1,0,0,1,0.912,0,0,0,0,0,1,0,1,0,0,0,0.025,-0.19889209,0,0.2,0.102564103,0.103448276,3.60893
68,广西壮族自治区,d43f681c0751f76b9781,1,0,0,0,1,0,1,0,176,67,1,1,1,1,0,0,0,0.92,1,0,0,0,0,0,1,0,0,0,0,0.005979073,-0.261094989,0,0,0.384615385,0.103448276,2.99712
69,四川省,1d94a33e6b00128ad985,0,1,0,0,1,0,1,0,165,55,1,1,1,0,1,0,1,0.846666667,0,0,1,0,0,1,0,1,0,0,0,0.006802721,-0.187492741,0,0.028571429,0.025641026,0,3.74203
70,江西省,325765fbe4f51e654184,1,0,0,0,1,0,1,0,184,75,1,1,1,1,0,0,0,0.886666667,1,0,0,0,0,0,0,0,1,0,0,0.04172851,1.18E-15,0,0.028571429,0.051282051,0.068965517,2.96514
71,贵州省,bbc44cb939ead26056f9,1,0,0,0,0,0,0,1,176,67,1,1,1,0,1,0,0,0.902666667,0,1,0,0,0,0,1,0,0,0,0,0.001745201,-0.262125984,0,0.314285714,0.153846154,0,3.54376
72,青海省,34ca7e5a785ac612f046,1,0,0,0,1,0,1,0,176,67,1,1,1,1,0,0,1,0.882666667,1,0,0,0,0,1,0,1,0,0,0,0.175,0.834543309,0,0,0.076923077,0,2.07271
73,北京市,d57f8c4f5adb2a14f441,0,1,0,1,1,0,1,0,168,54,1,1,1,1,0,0,0,0.914666667,1,0,0,0,0,2,0,1,0,0,0,0.061764706,-0.262245872,0,0.2,0.282051282,0,3.37454
74,山东省,a2178cf6bd6ede3967b1,0,0,1,0,1,0,1,0,170,68,0,1,1,1,0,0,1,0.841333333,1,0,0,0,0,5,0,1,0,0,0,0.023072889,-0.257467899,0,0,0.076923077,0.206896552,2.55015
75,广东省,bfc05df410fc81a7b873,0,1,0,0,1,0,1,0,176,67,1,1,1,1,0,0,1,0.932,1,0,0,0,0,3,0,1,0,0,0,0.001239157,-0.261963595,0,0.028571429,0.076923077,0.034482759,3.844
76,贵州省,891ad786c31428f5314d,1,0,0,1,1,0,1,0,152,45,0,0,1,1,0,0,0,0.865333333,0,0,0,1,0,0,0,0,1,0,0,0.005479452,-0.247249927,0,0.028571429,0.205128205,0,3.44166
77,浙江省,6f9d9063f3864de6126f,0,1,0,0,1,0,1,0,176,75,1,1,1,1,0,0,1,0.841975185,1,0,0,0,0,5,0,1,0,0,0,0.04172851,1.18E-15,0,0,0,0,3.81554
78,上海市,36366a4fe533ca392387,0,1,0,1,0,0,1,0,169,49,1,1,1,0,1,0,1,0.81969697,0,0,0,1,0,0,1,0,0,0,0,0.04172851,1.18E-15,0,0.114285714,0.102564103,0,3.59211
79,湖北省,0eb5ee6e0c9d064d244d,0,0,1,0,1,0,1,0,170,78,1,1,1,1,0,0,0,0.876,1,0,0,0,0,5,0,1,0,0,0,0.13363029,0.089745074,0,0.028571429,0.051282051,0.172413793,3.40355
80,北京市,c0f52fbd7c62a9f724a6,0,1,0,1,1,0,1,0,166,56,1,1,1,1,0,0,0,0.924,1,0,0,0,0,0,1,0,0,0,0,0.078571429,-0.262245872,0,0.142857143,0.153846154,0,3.43956
81,广西壮族自治区,9b9a91bdb719c001c909,1,0,0,1,1,0,1,0,164,54,1,1,1,0,1,0,1,0.874666667,0,0,0,1,0,0,1,0,0,0,0,0.006079027,-0.252165402,0,0.057142857,0.153846154,0,3.59021
82,四川省,c40befca6c46c66010b3,0,1,0,1,1,0,1,0,168,54,0,1,1,0,1,0,1,0.834666667,0,0,1,0,0,0,0,0,1,0,0,0.001257862,-0.262170507,0,0.028571429,0.076923077,0,3.57135
83,黑龙江省,055d9a5a5eb98290c7ff,1,0,0,1,1,0,1,0,161,50,1,1,1,1,0,0,1,0.928,0,0,0,0,0,3,0,1,0,0,0,0.002945508,-0.261987425,0,0,0.179487179,0,3.12567
84,吉林省,66b3f5d63f3c51a0990b,1,0,0,0,1,0,1,0,185,83,1,1,1,0,1,0,1,0.837333333,0,0,0,1,0,2,0,1,0,0,0,0.008571429,-0.107598115,0,0.257142857,0.179487179,0,3.42788
85,新疆维吾尔自治区,6fe7caa3887e5d97d5db,1,0,0,1,1,0,1,0,168,68,1,1,1,0,1,0,0,0.857333333,0,1,0,0,0,0,1,0,0,0,0,0.002364066,-0.260943423,0,0.028571429,0,0,3.19406
86,江西省,faa0efcbecf9a9a5c2e6,1,0,0,1,1,0,1,0,160,44,1,1,1,0,1,0,1,0.841333333,0,0,0,0,0,0,0,0,1,0,0,0.001,-0.261780309,0,0,0.153846154,0.172413793,3.72374
87,浙江省,24c9e40e2c4649651576,0,1,0,1,1,0,1,0,162,50,0,1,1,0,1,0,1,0.869135556,0,0,1,0,0,0,1,0,0,0,0,0.007722008,-0.254701108,0,0.085714286,0.153846154,0,3.54214
88,北京市,1fa65be71a01ba7908a1,0,1,0,1,1,0,1,0,166,50,1,1,1,1,0,0,0,0.953333333,0,1,0,0,0,5,0,1,0,0,0,0.005357143,-0.262245872,0,0.085714286,0.282051282,0.172413793,3.82349
89,江苏省,3641202bef0abacbc2b3,0,1,0,1,1,0,1,0,164,56,1,1,1,1,0,0,0,0.58125,0,0,0,0,1,5,0,1,0,0,0,0.005836576,-0.262045452,0,0.2,0.41025641,0.206896552,3.18742
90,湖北省,31e858c2f5870cbc1234,0,0,1,0,1,0,1,0,185,88,1,1,1,1,0,0,1,0.930666667,0,0,0,0,0,1,0,1,0,0,0,0.013011152,-0.260466283,0,0.057142857,0.205128205,0,3.34914
91,宁夏回族自治区,100224b0320d2cbfaa00,1,0,0,1,1,0,1,0,166,55,1,1,1,1,0,0,0,0.842666667,1,0,0,0,0,3,0,1,0,0,0,0.00241838,-0.254994425,0,0.028571429,0.128205128,0,3.78511
92,湖北省,3866a5c27a8925f4eb03,0,0,1,1,1,0,1,0,166,51,1,1,1,1,0,0,0,0.914666667,0,0,0,0,0,0,1,0,0,0,0,0.000943396,-0.26222824,0,0.028571429,0.128205128,0.103448276,3.69366
93,四川省,0546f132bf1907418281,0,1,0,1,1,0,1,0,172,60,1,1,1,1,0,0,1,0.930666667,0,0,0,0,0,0,1,0,0,0,0,0.088679245,-0.21172032,0,0.342857143,0.435897436,0,3.76436
94,广东省,b460eab27f5a4a13e6ae,0,1,0,0,1,0,1,0,180,55,1,1,1,1,0,0,1,0.886666667,1,0,0,0,0,5,0,1,0,0,0,0.078882498,-0.162527938,0,0,0,0,3.68366
95,浙江省,976d44c4f8927d535505,0,1,0,0,1,0,1,0,182,84,1,1,1,1,0,0,1,0.909876049,0,1,0,0,0,4,0,1,0,0,0,0.00212766,-0.257672165,0,0.028571429,0.153846154,0.344827586,3.9072
96,重庆市,cee247bc68721e97f789,0,1,0,0,1,0,1,0,167,55,1,1,1,1,0,0,0,0.902666667,1,0,0,0,0,1,0,1,0,0,0,0.013322231,-0.259243723,0,0,0.051282051,0.034482759,2.7555
97,青海省,047cec7abe957111237c,1,0,0,1,0,1,0,0,164,54,0,1,1,0,1,0,1,0.774666667,0,0,0,1,0,0,1,0,0,0,0,0.013793103,-0.261068037,0,0,0,0,2.30073
98,北京市,2dd7b7b599d8d1791bc7,0,1,0,0,1,0,1,0,179,75,1,1,1,1,0,0,1,0.898666667,0,0,0,0,1,1,0,1,0,0,0,0.031358885,-0.262245872,0,0.114285714,0.102564103,0,3.46086
99,北京市,097c4f4ee58050d4dc6a,0,1,0,1,1,0,1,0,157,48,1,1,1,0,1,0,1,0.877333333,0,0,1,0,0,2,0,1,0,0,0,0.063636364,-0.207396779,0,0.285714286,0.307692308,0,3.83115
100,湖北省,1562329ecba9684d7236,0,0,1,0,1,0,0,1,177,58,1,1,1,1,0,0,0,0.878666667,0,0,0,0,1,3,0,1,0,0,0,0.002018843,-0.262042496,0,0.085714286,0.128205128,0.103448276,3.40002
101,北京市,0d55f759addee73fb803,0,1,0,1,1,0,1,0,164,47,1,1,1,0,1,0,1,0.913333333,0,0,0,1,0,1,0,1,0,0,0,0.016129032,0.55444476,0,0.114285714,0.051282051,0,3.56075
102,湖南省,374b53ac5a66c2c7b1f2,0,0,1,0,0,0,1,0,169,57,0,1,1,1,0,0,1,0.853333333,1,0,0,0,0,1,0,0,0,1,0,0.005084746,-0.262004579,0,0.028571429,0.333333333,0,2.93509
103,河南省,139ea7490207c91a552d,1,0,0,0,1,0,1,0,176,67,1,0,1,1,0,0,0,0.932,0,0,0,0,0,0,1,0,0,0,0,0.002247191,-0.246974304,0,0.028571429,0.051282051,0,3.16108
104,浙江省,25a598b6d6221738fd94,0,1,0,0,1,0,1,0,180,70,1,1,1,1,0,0,1,0.925925802,1,0,0,0,0,5,0,1,0,0,0,0.003076923,-0.262150725,0,0.085714286,0.179487179,0.034482759,3.66414
105,四川省,98fb9fe6228e36444418,0,1,0,1,1,0,1,0,164,54,1,1,1,0,1,0,1,0.837333333,0,0,1,0,0,2,0,1,0,0,0,0.000794281,-0.262071484,0,0,0.153846154,0,3.59183
106,山西省,bb8160437175c5ee9378,1,0,0,0,1,0,1,0,177,68,1,1,1,1,0,0,1,0.852,0,0,0,0,1,5,0,1,0,0,0,0.020408163,-0.257356672,0,0.085714286,0.230769231,0.413793103,3.42181
107,浙江省,ac7de6f4279ac2516230,0,1,0,0,1,0,1,0,176,67,1,1,1,0,0,1,0,0.793771728,0,0,0,0,1,5,0,1,0,0,0,0.662264151,4.707600934,0,0,0,0,3.26976
108,河南省,04e73c3904feb4d5e8fe,1,0,0,0,1,0,1,0,182,76,1,1,1,1,0,0,1,0.925333333,0,1,0,0,0,0,1,0,0,0,0,0.002321981,-0.256382953,0,0,0.102564103,0.034482759,2.73589
109,青海省,217399afce0a6852d4a6,1,0,0,1,1,1,0,0,165,51,1,1,1,0,1,0,0,0.846666667,0,1,0,0,0,2,0,1,0,0,0,0.005763689,-0.261259036,0,0.028571429,0.102564103,0,3.1191
110,黑龙江省,0634bc719b53fcc0146d,1,0,0,0,1,0,1,0,187,120,1,1,1,1,0,0,1,0.922666667,1,0,0,0,0,0,1,0,0,0,0,0.00617284,-0.260738761,0,0.228571429,0.41025641,0,3.22765
111,北京市,827fbd9aa6055e9a8fe4,0,1,0,1,1,0,1,0,160,48,1,1,1,1,0,0,1,0.890666667,0,0,0,0,1,1,0,1,0,0,0,0.056756757,0.680370648,0,0.257142857,0.230769231,0,3.45383
112,北京市,4c7b0e596bd288f176d7,0,1,0,0,0,0,1,0,183,62,1,1,1,1,0,0,1,0.918666667,0,0,0,0,0,0,1,0,0,0,0,0.080139373,-0.262245872,0,0.085714286,0.051282051,0,3.34584
113,陕西省,40d66e9bc60ff5624e24,0,0,1,1,1,0,1,0,157,58,1,1,1,1,0,0,1,0.928,0,0,0,0,1,3,0,1,0,0,0,0.009090909,-0.259413295,0,0.085714286,0.230769231,0,2.47394
114,河南省,3b7632cf47b7015596b0,1,0,0,0,0,0,1,0,175,65,0,1,1,1,0,0,1,0.870666667,1,0,0,0,0,3,0,0,0,1,0,0.000511247,-0.261896338,0.333333333,0,0.102564103,0.137931034,3.51364
